"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R22,R24,R10,R11,R23,R9";"R_1206_3216Metric";6;"R";;;
2;"RV3,RV4,RV1";"Potentiometer_Bourns_3296W_Vertical";3;"20k";;;
3;"IC1";"SOP65P490X110-9N";1;"TPS7A4901DGNR";;;
4;"H1,H3,H2,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"J3,J11,J12,J2";"PinHeader_2x03_P2.54mm_Vertical";4;"Conn_02x03_Odd_Even";;;
6;"D5";"D_T-1_P2.54mm_Vertical_AnodeUp";1;"D";;;
7;"RV2";"Potentiometer_Bourns_3296W_Vertical";1;"R_Potentiometer";;;
8;"IC2";"SOP65P490X110-9N";1;"TPS7A3001DGNR";;;
9;"C13,C18";"C_0805_2012Metric";2;"100n";;;
10;"J4,J6,J9,J8,J5";"PinHeader_1x02_P2.54mm_Vertical";5;"Conn_01x02_Pin";;;
11;"C14,C22,C24";"C_0603_1608Metric";3;"10u";;;
12;"CR1";"TO-220-3_Vertical";1;"FERD40U45CT";;;
13;"Q6,Q9";"SOT-23";2;"BSS84";;;
14;"R26,R20,R27,R25,R21,R2";"R_0603_1608Metric";6;"100";;;
15;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
16;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"5";;;
17;"R18";"R_0603_1608Metric";1;"5k*";;;
18;"D4,D3";"D_0805_2012Metric";2;"D";;;
19;"U1,U2";"SO-8_3.9x4.9mm_P1.27mm";2;"LM358";;;
20;"C3,C12";"C_0805_2012Metric";2;"0.1u";;;
21;"C7";"C_0603_1608Metric";1;"0.1-1u";;;
22;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
23;"C27,C8,C10,C28";"C_0603_1608Metric";4;"100n";;;
24;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TLC555xD";;;
25;"C21,C20,C16,C15";"C_0603_1608Metric";4;"10n";;;
26;"R17,R15";"R_0603_1608Metric";2;"10k";;;
27;"C9";"C_0805_2012Metric";1;"C";;;
28;"J10,J7";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
29;"C4";"C_0603_1608Metric";1;"1n";;;
30;"Q3,Q1";"TO-220-3_Vertical";2;"IRF4905";;;
31;"Q8";"TO-220-3_Vertical";1;"TIP42";;;
32;"C23";"C_0805_2012Metric";1;"1u";;;
33;"U5,U4";"Panasonic_APV-AQY_SSOP-4_4.45x2.65mm_P1.27mm";2;"APV2111V";;;
34;"R7,R5";"R_0603_1608Metric";2;"1K";;;
35;"R12";"R_0603_1608Metric";1;"1k";;;
36;"Q2";"SOT-723";1;"sot-723 pfet";;;
37;"C5,C6";"C_0603_1608Metric";2;"20n";;;
38;"R8,R4";"R_0603_1608Metric";2;"100k";;;
39;"Q5";"SOT-723";1;"RZM001P02";;;
40;"R3";"R_0603_1608Metric";1;"2000";;;
41;"C17";"C_0805_2012Metric";1;"1n";;;
42;"Q4";"SOT-23";1;"2N7002K";;;
43;"R6";"R_0603_1608Metric";1;"50";;;
44;"R13";"R_0603_1608Metric";1;"5k";;;
45;"C19";"C_0805_2012Metric";1;"200p";;;
46;"C25,C26";"C_0603_1608Metric";2;"C";;;
47;"R14";"R_0603_1608Metric";1;"118k";;;
48;"Q7";"TO-220-3_Vertical";1;"MJE13007G";;;
49;"R16";"R_0603_1608Metric";1;"32.4k";;;
50;"R19";"R_0603_1608Metric";1;"0";;;
51;"C1,C2";"CP_Radial_D10.0mm_P2.50mm_P5.00mm";2;"560u";;;
52;"C11";"CP_Radial_D10.0mm_P2.50mm_P5.00mm";1;"C";;;
